GEOID,NAME,variable,estimate_2015,moe_2015,estimate_2016,moe_2016,estimate_2017,moe_2017,estimate_2018,moe_2018,estimate_2019,moe_2019,estimate_2020,moe_2020
50,Vermont,White,594443,412,592965,337,590499,386,589546,414,587883,447,584360,581
50,Vermont,Black or African American,6949,379,7404,344,7921,334,8058,414,8502,393,7964,481
50,Vermont,American Indian or Alaska Native,2018,234,1984,273,2072,311,2106,297,2132,286,1873,299
50,Vermont,Asian,8774,324,9212,344,9680,406,10579,406,10461,609,10126,704
50,Vermont,Native Hawaiian or Other Pacific Islander,249,91,206,107,206,103,184,80,325,148,205,100
50,Vermont,Multiple Races,12169,587,12169,606,12061,589,12078,686,12600,745,17135,985
51,Virginia,White,5695147,5990,5712958,5302,5720209,6499,5722660,6402,5717617,6871,5643436,6666
51,Virginia,Black or African American,1589345,3850,1596352,4766,1605447,4024,1613285,5365,1621592,4393,1620649,5144
51,Virginia,American Indian or Alaska Native,22570,1347,21948,1243,22499,1303,22972,1339,23873,1521,22553,1235
51,Virginia,Asian,492973,2605,502878,2906,520119,2743,531503,3435,541133,3118,570398,3137
51,Virginia,Native Hawaiian or Other Pacific Islander,5304,450,5494,454,5469,439,5677,516,6179,562,5994,791
51,Virginia,Multiple Races,268167,5593,279699,6294,291944,5308,309213,6030,320275,5841,405786,7686
53,Washington,White,5434177,7113,5470566,8083,5500837,7360,5545997,7711,5581128,7160,5523881,7350
53,Washington,Black or African American,253224,3115,256990,2976,261743,3295,269854,3222,281683,3569,290245,4198
53,Washington,American Indian or Alaska Native,93266,2189,94026,2583,94754,1927,95048,2502,94449,2701,91766,2482
53,Washington,Asian,535501,3217,552032,3537,578822,3521,607429,3029,631333,3410,662902,4179
53,Washington,Native Hawaiian or Other Pacific Islander,44159,939,44870,1320,46071,1047,48043,1180,49090,1312,51117,1289
53,Washington,Multiple Races,360705,5741,377703,6288,394733,5291,416795,5515,433386,6496,531976,8866
54,West Virginia,White,1732235,1074,1725411,962,1714591,1295,1704345,1292,1691600,1460,1672255,1658
54,West Virginia,Black or African American,61367,1269,63305,1338,65300,1310,66728,1188,66990,1372,64285,1431
54,West Virginia,American Indian or Alaska Native,2953,418,3281,382,3322,506,3668,480,3667,569,3146,543
54,West Virginia,Asian,13485,484,13990,602,14096,548,14534,605,14523,683,14228,743
54,West Virginia,Native Hawaiian or Other Pacific Islander,625,278,648,301,541,192,350,123,419,181,474,242
54,West Virginia,Multiple Races,36189,1235,33726,1308,31800,1471,32139,1259,32135,1388,43760,2272
55,Wisconsin,White,4967124,3205,4961193,3806,4950577,3537,4945966,3694,4946961,3696,4895065,5304
55,Wisconsin,Black or African American,360792,1996,361730,1940,365884,2046,368744,1986,371200,2147,367889,2516
55,Wisconsin,American Indian or Alaska Native,50449,1188,51459,1030,50094,1055,50422,1200,51392,1091,48674,983
55,Wisconsin,Asian,143732,1226,148077,1328,152325,1244,159356,1317,161841,1582,163396,2007
55,Wisconsin,Native Hawaiian or Other Pacific Islander,1233,222,1378,196,1811,357,1975,408,2400,529,2672,518
55,Wisconsin,Multiple Races,122730,3164,125923,3336,131091,2997,135990,3587,138572,3409,194564,4282
56,Wyoming,White,527763,1422,531851,1369,532394,1178,532008,1465,531304,1434,525246,1684
56,Wyoming,Black or African American,6142,595,6435,563,6121,605,5540,605,5582,608,5079,573
56,Wyoming,American Indian or Alaska Native,12658,665,13033,790,13549,839,14053,786,14164,805,13117,806
56,Wyoming,Asian,5319,410,5385,481,5102,423,4756,498,5025,437,4892,488
56,Wyoming,Native Hawaiian or Other Pacific Islander,423,255,391,247,470,268,539,272,596,302,589,240
56,Wyoming,Multiple Races,15489,915,15531,1083,15317,1046,15579,1072,15521,1050,22718,1348
72,Puerto Rico,White,2495997,9921,2448085,9661,2389446,10023,2283720,9541,2188014,9520,1952451,11646
72,Puerto Rico,Black or African American,301519,5947,320087,5491,338939,6609,365010,6294,386676,7052,367906,8119
72,Puerto Rico,American Indian or Alaska Native,11775,1292,11814,1163,10849,1246,8504,1171,6838,1034,5697,859
72,Puerto Rico,Asian,10159,1137,9574,1102,7789,1066,6684,892,6237,953,5882,920
72,Puerto Rico,Native Hawaiian or Other Pacific Islander,129,77,182,91,136,70,303,268,269,231,258,239
72,Puerto Rico,Multiple Races,332051,6762,264764,6256,210019,6143,175466,4871,175649,4948,315381,6816
